# Table 1 from reference Puget Stecker Bredekamp 1976,,,,,,,,,,,,,,,,,,,,,,,
Z,A,eps01,xi1,Delta1,eps02,xi2,Delta2,zeta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
26,56,18,0.98,8,22,0.15,7,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
25,55,18,0.93,7,23.5,0.2,8,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
24,54,18,0.93,7,24,0.2,8,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
24,53,18,1.03,7,24,0.1,8,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
24,52,18,1.08,7,24,0.05,8,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
23,51,19,1.02,7,25,0.11,6,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
22,50,19,1.03,8,25,0.1,6,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
22,49,19,1.03,8,25,0.1,6,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
22,48,19,1.03,8,25,0.1,6,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
22,47,19,1.03,8,25,0.1,6,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
22,46,19,1.03,8,25,0.1,6,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
21,45,19,0.97,9,26,0.15,8,0.95,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
20,44,20,0.92,9,26,0.2,8,0.96,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
20,43,20,0.97,8,26,0.15,8,0.96,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
20,42,20,1.02,7,26,0.1,8,0.96,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
20,41,20,0.92,6,26,0.2,8,0.96,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
20,40,20,0.84,6,26,0.28,10,0.96,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
19,39,20,0.73,7,25,0.38,12,0.98,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
18,38,18,0.86,8,22,0.24,8,0.98,0.1,0.35,0.1,0.05,0.15,0.045,0.04,0.035,0.03,0.025,0.02,0.018,0.015,0.012,0.01
