# Table 1 from reference Stecker Bredekamp 1976
# A,Z,epsmin1,eps01,xi1,Delta1,epsmin2,eps02,xi2,Delta2,zeta
51 30 150
56,26,10.2,18,0.98,8,18.3,22,0.15,7,0.95
55,25,8.1,18,0.93,7,17.8,24,0.20,8,0.95
54,26,8.9,18,0.93,7,15.4,24,0.20,8,0.95
53,24,7.9,18,1.03,7,18.4,24,0.10,8,0.95
52,24,10.5,18,1.08,7,18.6,24,0.05,8,0.95
51,23,8.1,19,1.02,7,19.0,25,0.11,6,0.95
50,24,9.6,19,1.03,8,16.3,25,0.10,6,0.95
49,22,8.1,19,1.03,8,19.6,25,0.10,6,0.95
48,22,11.4,19,1.03,8,19.9,25,0.10,6,0.95
47,22,8.9,19,1.03,8,18.7,25,0.10,6,0.95
46,22,10.3,19,1.03,8,17.2,25,0.10,6,0.95
45,21,6.9,19,0.97,9,18.0,26,0.15,8,0.95
44,20,11.1,20,0.92,9,19.1,26,0.20,8,0.96
43,20,7.9,20,0.97,8,18.2,26,0.15,8,0.96
42,20,10.3,20,1.02,7,18.1,26,0.10,8,0.96
41,19,7.8,20,0.92,6,17.7,26,0.20,8,0.96
40,20,8.3,20,0.84,6,14.7,26,0.28,10,0.96
39,19,6.4,20,0.73,7,16.6,25,0.38,12,0.98
38,18,10.2,18,0.86,8,18.6,22,0.24,8,0.98
37,17,8.4,20,0.81,7,18.3,24,0.28,7,1.00
36,18,8.5,22,0.82,12,14.9,22,0.25,12,1.00
35,17,6.4,20,0.87,7,17.3,26,0.22,10,1.00
34,16,10.9,22,0.87,12,20.1,22,0.20,12,1.00
33,16,8.6,22,0.82,12,17.5,22,0.25,12,1.00
32,16,8.9,22,0.97,12,16.2,30,0.10,12,1.00
31,15,7.3,21,0.85,8,17.9,29,0.20,12,1.02
30,14,10.6,20,0.83,7,19.1,26,0.20,8,1.04
29,14,8.5,20,0.83,7,20.1,26,0.20,8,1.04
28,14,11.6,21,1.01,8,19.9,30,0.02,8,1.04
27,13,8.3,21,0.80,8,19.4,29,0.20,12,1.05
26,12,11.1,18,0.77,8,18.4,26,0.20,8,1.08
25,12,7.3,23,0.77,9,19.0,28,0.20,7,1.08
24,12,11.7,19,0.94,11,20.5,29,0.03,6,1.08
23,11,8.8,22,0.83,12,19.2,25,0.12,10,1.09
22,10,10.4,22,0.81,12,17.1,21,0.11,4,1.09
21,10,6.8,22,0.84,12,19.6,25,0.08,6,1.09
20,10,12.8,22,0.87,12,20.8,26,0.05,8,1.09
19,9,8.0,23,0.76,14,16.0,29,0.14,14,1.10
18,8,8.0,24,0.67,9,12.2,29,0.20,10,1.10
17,8,4.1,24,0.77,9,16.3,29,0.20,10,1.10
16,8,12.1,24,0.83,9,22.3,30,0.04,10,1.10
15,7,10.2,23,0.73,10,18.4,23,0.10,10,1.07
14,7,7.6,23,0.46,10,12.5,23,0.37,10,1.07
13,6,4.9,23,0.71,8,20.9,27,0.05,8,1.06
12,6,16.0,23,0.76,6,27.2,27,0.00,8,1.06
11,5,11.2,26,0.85,11,18.0,26,0.15,11,1.03
10,5,6.6,25,0.54,11,8.3,25,0.15,11,1.03
9,4,1.7,26,0.67,20,18.9,25,0.00,11,1.00
4,2,19.8,27,0.47,12,26.1,45,0.11,40,1.11
3,2,5.5,13,0.33,18,7.7,15,0.33,13,1.11
2,1,2.2,5,0.97,9,2.2,15,0.00,13,0.00
