53 30 150
56 26 10.1837 74.2214174267895 20.7722579190796 56.8233548259766 28.5880137512588	7.61324 1.73438602441029 20.588873534438 33.2475523313472 0.585533888909186
55 25 8.067 67.9730626154511 20.3599949542774 40.0154755414868 22.625002706539	7.93295 0.70255803354647 19.2873453895259 19.7824723893028 0.371749185215952
54 26 8.85379 72.3976610953733 20.8934198105288 53.912272732913 27.4187436615182	8.41707 2.62000596254318 21.8315906133689 37.130137789344 0.640977814832397
53 24 7.93913 76.2679983086817 21.1808045541804 52.5976619708892 27.7505893560574	9.148 0.753530914786711 25.3568278720792 78.6708788246552 0.568682444465567
52 24 10.5034 67.8662353785301 21.250920173721 58.1494651070614 26.3913752561373	9.35127 1.7961848416294 20.1030182002672 16.9343865639863 0.373095629660331
51 23 8.06197 70.6073741013875 21.4218925166044 44.2531731049216 24.2522659829523	10.293 0.564941660833972 21.9827069053964 30.5081460865523 0.405231148177275
50 24 9.58972 62.8669559303033 21.3331343342187 58.0982094024981 25.1556904034827	8.55962 5.03813349560986 20.5851345430397 17.8658026638614 0.697592148162958
49 22 8.1424 70.6853326739026 21.4809078773909 51.3549629025108 25.2363116058026	10.1756 0.60211692639647 25.2363866022137 76.5166298099484 0.634486148166048
48 22 11.4451 62.547279740405 21.3265537692437 55.9816634321289 24.0882672196749	9.44799 1.61319485213763 22.4581008506401 40.9967742142485 0.681789111126695
47 22 8.88073 63.3317525728885 21.5886522601617 53.920534248687 23.7322927823949	8.9525 1.56276743121759 23.3975996867529 55.1177509090448 0.813888037046151
46 22 10.3448 56.0200546662723 21.7472497063554 58.5047294370117 23.1806911375368	8.00466 4.48281059777086 20.1917851967084 29.4973852403105 0.91932588889284
45 21 6.89149 67.5582859919098 21.8013544928928 46.7656619043081 23.2702869428983	7.88276 2.69769728570762 20.985370864431 32.7740465727028 0.963496925927714
44 20 11.1312 68.9325364632246 21.8461931618506 44.7227320542046 22.4333293737552	8.76511 1.43051114123622 21.4663174819984 49.9166655021278 1.20580085184177
43 20 7.93289 61.8711398661325 21.912925007952 46.6116503163415 21.6819585173142	7.59154 12.2351676373209 20.9415508940402 13.2686454163852 1.40312414812841
42 20 10.2229 56.3613902566008 22.2864541871929 49.10465031779 21.018248228605	6.25733 4.62462488250804 20.2691074098261 73.9994342920522 1.32666192590993
41 19 7.77383 62.9030739226216 22.063545043929 43.1471645226679 21.4405161432957	6.27672 5.4375865628367 21.6044114827724 37.4614682406943 1.18188796295406
40 20 8.30933 102.895660966757 21.0945531390158 21.2192029558469 21.7121266259548	7.03976 10.2855904067313 19.3122352145029 13.3451184562905 1.21043425924895
39 19 6.40017 55.5268366641072 22.6831702183488 44.8295166297232 19.5427216125671	7.23739 11.078199569183 20.5358245158249 21.7515149688154 1.43719925923785
38 18 10.2423 46.6473689400006 22.9795820874991 52.0103648444922 18.3710697687995	7.20804 7.89535656141404 19.6169904876518 25.0418536651336 1.46898018516222
37 17 8.38637 54.667950617362 22.5407455470105 43.4134077271556 18.7688944319725	7.84909 3.49485228408232 22.0566738235743 49.0214428313978 1.27836388887526
36 18 8.50697 56.9940234016987 22.5910661530688 38.4482964041518 18.5548963314617	6.5881 7.88973583301447 21.1393304503835 36.9403857811518 1.27019411109788
35 17 6.37082 50.1085892997984 23.002670261524 42.1917732559204 17.1567019941399	6.94434 9.47447465759358 20.8331442734597 23.0825483214337 1.58417814811954
34 16 10.8833 45.4051840812268 23.1739961058194 46.4936834920155 16.1028810548493	7.92364 4.80616669324694 20.1387283977646 26.6419192259255 1.63832937033911
33 16 8.6734 44.9682737931971 22.9073920990748 40.0543507746955 15.4950127390636	7.19248 10.9334886373632 22.8181314552736 38.2371513474243 2.02034999995003
32 16 8.86321 47.2912161319843 22.0682308634672 42.0541929060312 15.8991908975829	6.92181 5.04294821005147 19.4991087690211 31.3320896865591 0.683571444459941
31 15 7.35012 45.9020491165041 23.2182910035844 40.6951667329847 15.3226605440149	9.72228 4.11401645439644 21.7471593624002 31.9468008418501 0.69068559260774
30 14 10.6014 50.1011803913445 23.2953787791078 36.4054726740878 14.7605227556719	10.6433 2.79261998752024 20.2920266051851 15.2750361787434 0.784005962973541
29 14 8.40273 34.7890766661626 23.9211411682674 51.5168118631667 14.0402588471538	11.135 5.32885931428345 22.7263457749143 34.5891697639261 1.01485747020945
28 14 11.6637 37.8111000831148 21.3750415983418 29.1871140411303 12.5491469598103	10.0628 9.13796834867238 20.1288454568098 18.3653376896401 0.832159518526738
27 13 8.27117 40.9207118040481 22.9968676746165 53.3334630075648 14.7895415628558	10.0074 4.95063388684436 19.7390040614746 23.6555728881321 1.00990972081769
26 12 11.0931 42.6089657146417 23.6104238486634 35.3669804860102 12.5950926458112	10.6147 2.01419760401445 24.1043649957252 57.3128168773659 1.17309870369523
25 12 7.33052 31.7057521433075 24.1538723382075 40.5020921594442 11.5643094734361	9.88591 8.40170289695236 23.4841704971798 31.4454080409041 1.65990233330102
24 12 11.6083 21.8527893393614 25.2389778440275 59.4771913112137 11.2352317715623	9.22443 9.47710317977734 22.992207976394 30.9107960508138 1.41572018516483
23 11 8.8785 19.2906595396091 24.5901046110477 62.5729198982769 9.16382917114206	10.5077 3.52137903369363 21.7052593536294 53.9455463721888 1.4067535184986
22 10 10.3643 35.8958552015952 24.0472044011221 32.9719736608707 10.4488639142301	9.58607 4.69653670370293 24.9403302746669 51.7057371865814 2.0852034443913
21 10 6.66904 23.9951489696615 24.6234370980925 39.5822096767782 9.17414945827919	7.27233 12.7038326148837 23.7715553363902 36.469048978331 2.98432785175467
20 10 12.8916 10.7421655579263 28.0339273303165 77.0264139804671 8.97482744154133	4.82183 29.1288548599813 23.7739697835599 22.5679610327796 2.25356055549417
19 9 7.95684 32.5381203435026 25.1704865051308 30.3851493084612 9.60375469987168	4.10121 9.18446075767694 23.231514169259 32.702138420618 1.84803214810662
18 8 8.05052 29.8710382813084 24.6770682828788 39.2381041041524 9.30825210117202	6.39675 5.45007813712133 25.2060428731606 38.819663905825 1.62838703700626
17 8 4.21855 19.5844849571962 25.3603909544411 41.6998297276461 8.04092595329313	6.43515 12.1539432070401 24.0675660787717 29.6253374172921 1.60088611108168
16 8 12.171 13.5354234945157 23.8071307301303 36.5995871183809 7.27057555054664	7.16206 15.7345567716082 23.6902356273649 32.2548068808559 0.967847091817845
15 7 10.2524 26.2507032468591 26.0386308886128 37.5935822629868 8.19510344213653	10.9479 1.07869419476999 24.9470572363388 186.327592257494 1.03674840740561
14 7 7.51017 36.9897800089879 22.8848170623676 20.4377474150371 7.04779801842924	11.5709 7.10302561413451 25.0082428609721 45.1920120821571 1.9023505925484
13 6 4.94546 13.6500998592534 26.9245644141115 39.1024484716871 6.16448402963413	10.6475 8.83469331889239 25.1420349038707 30.9662035769042 1.22625437035929
12 6 15.9568 14.1820817745406 23.3456737321517 19.2535692679799 4.86280873779685	7.36657 6.11079424715604 21.3374595227884 40.2396017931353 0.928690851855344
11 5 11.2236 12.9284762517177 27.0957195077001 45.9399257263533 5.42014240063826	8.67455 3.02028066165396 26.7820435806971 69.3269683323758 0.784127703714275
10 5 6.0267 12.3216180703433 28.8042098422871 46.4842792799994 5.46961505625113	4.54811 2.30670809940354 28.9588517104703 99.1819102655822 0.604248185204566
9 4 1.66454 17.0175931742706 29.0434895026352 40.969468786271 4.78632622713369	2.30769 0.834713368493034 21.1529626826714 65.4445582092665 0.670346888905033
7 3 2.54783 1228.14550944233 69.2566676445141 308.308440255876 2.73898566639827	2.537 2.26344613603919 26.2723180570998 51.4369173492222 0.413086555584298
6 3 1.47739 1.37410817902627 43.1595859510297 329.158539469194 0.999458365286254	1.45819 3.43441498780753 25.8611567038577 45.3576628745137 0.295647882997457
4 2     19.8 0 0 1 0       30. 0 0 1 0
3 2      5.5 0 0 1 0       30. 0 0 1 0
2 1      2.2 0 0 1 0       30. 0 0 1 0
